breakout_item-10000101,Molotov Cocktail
breakout_item-20000101,<color=#E4A821>Throwable weapon that deals high explosive damage and ignites enemies within range//c causing continuous damage.</color>//nA homemade Molotov cocktail filled with liquid fuel. It creates a widespread burning area upon impact//c making it a dangerous weapon to both enemies and allies.
breakout_item-10000102,Medkit
breakout_item-20000102,<color=#E4A821>Restores health to allies within range.</color>//nA military-grade medical kit highly favored in the Dark Zone. It contains a more comprehensive selection of medical supplies compared to civilian first-aid kits//c making it capable of handling most common injuries in emergency situations.
breakout_item-10000103,Stun Grenade
breakout_item-20000103,<color=#E4A821>Throwable weapon that stuns and slows enemies within range.</color>//nA high-performance//c handheld stun grenade designed to weaken the defenses and mobility of enemies caught within its blast radius.
breakout_item-10000104,Cardiac Stimulant
breakout_item-20000104,<color=#E4A821>Grants a shield to allies within range.</color>//nA specially designed stimulant injector containing medication that suppresses pain and temporarily enhances the user's combat capabilities.
breakout_item-10000201,Matches
breakout_item-20000201,A box of matches that easily absorbs moisture. When they don't sell//c striking one grants a fleeting Christmas experience.
breakout_item-10000202,Metal Lighter
breakout_item-20000202,A more reliable fire-starting tool than matches in most cases. Quick//c convenient//c and resistant to moisture—though occasionally//c it might just explode on the spot.
breakout_item-10000203,Blue Gunpowder
breakout_item-20000203,A small amount of tin-based gunpowder. Its explosive power may not be sufficient for large-scale demolition operations...
breakout_item-10000204,Fuel Can
breakout_item-20000204,Fuel//c whether gas or liquid//c is valuable—even the empty cans left behind after use have their resale value.
breakout_item-10000205,Propane Tank
breakout_item-20000205,A storage tank containing highly flammable and explosive gas. Modifying or repurposing it is strongly discouraged//c and under no circumstances should it be used for homemade weapons.
breakout_item-10000206,Fuel Drum
breakout_item-20000206,A metal fuel drum that produces loud clangs when struck—worth more than a plastic fuel container.
breakout_item-10000207,Screws
breakout_item-20000207,A variety of screws in different sizes//c essential for everything from assembling bed frames to building rockets.
breakout_item-10000208,Plexiglass
breakout_item-20000208,A high-polymer transparent material//c commonly known as acrylic. If stray bullets shatter a window//c this could serve as a makeshift replacement.
breakout_item-10000209,Polycarbonate
breakout_item-20000209,A bullet-resistant thermoplastic engineered for durability—offering at least a slight boost to personal safety in the Dark Zone.
breakout_item-10000210,Acoustic Panel
breakout_item-20000210,High-grade soundproofing panels that effectively reduce noise levels. Some helmets might even have this stuffed inside//c making everything sound quieter when worn...
breakout_item-10000211,High-Impact Polystyrene
breakout_item-20000211,Impact-resistant hard plastic commonly used for electrical casings. While sturdy//c expecting it to stop bullets is a bit of a stretch.
breakout_item-10000212,Titanium Alloy Plate
breakout_item-20000212,A high-strength TC4 titanium alloy plate. It could be used for emergency defense against impacts//c but selling it is the more cost-effective option.
breakout_item-10000213,Capacitors
breakout_item-20000213,Various types of capacitors//c commonly used in electrical engineering. Handle with care and follow expert guidance—unless you enjoy the smell of fried circuits.
breakout_item-10000214,Floppy Disk
breakout_item-20000214,A cost-effective data storage solution. Rumor has it that//c in another world//c some even use it to store combat reports...
breakout_item-10000215,Mechanical Hard Drive
breakout_item-20000215,A completely broken mechanical hard drive. If it once contained classified data//c at least there's no longer any risk of a leak.
breakout_item-10000216,SSD Drive
breakout_item-20000216,A solid-state drive with exceptional read and write performance. As a storage device//c it's far more valuable than a mechanical hard drive.
breakout_item-10000217,PSU
breakout_item-20000217,A computer power supply unit. It converts electrical energy for computer use. With a few more essential components//c you might just be able to build a PC from scratch.
breakout_item-10000218,Graphics Card
