mail_content-10000001,Notice Regarding Ranking Stage
mail_content-20000001,Dear Commanders//c //nAfter clearing the map "Isomer II" in Act IV - Connexion//c you will unlock the ranking stage "Flowers of the End" (both Normal & EX). You will obtain 50 gems and 2000 resources * 4 as rewards simply by completing the stage at any difficulty//c no matter how many points you score. In ranking mode//c you don't necessarily have to fight to the last turn; by tapping "End Round" at any stage//c you can obtain the corresponding points. //nWhen you are ranked at 50% or higher//c you will receive more gems and resources and may obtain generous rewards such as Lee Enfield's exclusive equipment and Beach Fairy. //nWhen you score 500//c000 points or higher in "Flowers of the End"//c you will receive a Beach Fairy with random talent.//nAlso//c if you are ranked at 10% or higher//c you will receive mysterious Commander's headwear * 1.
mail_content-10000101,An Old Letter
mail_content-20000101,My dearest Dushevnaya//c//nFirst of all//c I owe you an apology. I was so anxious to see my family I forgot to say goodbye to you and Helena//c who had been by my side the whole time.//nI have always assumed that you would never leave me//c that even after I was reunited with my own family//c you would still be with me... Yet by the time I returned to the sanatorium//c you were no longer there. Perhaps this was God's way of punishing me for taking you for granted.//nI know you might never receive this letter//c but I am nevertheless writing it in the hope that it will one day find its way to you.//nIf you ever grow tired of working at a sanatorium//c you are always welcome at my home. I am now living in a safe area where the grass is green//c the flowers are in full bloom//c and the birds are chirping in the trees.//nMy granddaughter is a very good girl. Unlike you//c she always does as she's told. I love her//c just as I love you. I will always love the two of you and be a good grandmother.//nOf course//c you are probably taking care of another lonely old soul already. You are such a disarmingly innocent and endearing child. People just can't help but open up and let you into their heart.//nThis is your calling//c I know. You will love your new charge the way you loved me//c and you will carefully pick up the broken pieces of their heart and put them back together//c just as you did mine. It is in your nature.//nYou have a heart that is as delicate as your hands. It may only recover from being broken with a memory reset//c or you could try to overcome it and move on with all your memories and experience intact.//nYou could be reverted to your default factory settings countless times//c but memories are unique and irreplaceable. The Dushevnaya who remembers me is a unique and irreplaceable member of my family.//nI love you//c and I'll spend every single day of the rest of my life waiting to hear back from you.//nYours truly//c//nAsh James
mail_content-10000102,Thank You Letter (effort has been put into the neat handwriting)
mail_content-20000102,Dear PP-19//c Alfa//c and Griffin's Big Boss//c//n I'm home! Mama said I should make my gratitude known to whoever I want to thank//c even if they are Dolls//c so I'm writing this letter.//n Thank you Alfa for saving me from the herd of cows. You were just like an elven shepherdess. PP-19 was really cool too! What was that technique again? Papa said it was the "Fowl Snatching Technique"//c Mama called it the "Pigeon Combat Technique"//c but what was it really? What should I learn if I want to become as cool as you once I grow up?//n Oh//c and Griffin's Big Boss//c PP-19 told me you're very kind and very smart. When I'm older//c I want to be just like you//c or as pretty as Alfa. Thank you all for keeping Papa and I safe!//n And just between you and me//c if you happen to pass by where we live//c you're very welcome to have some of our pancakes. Mama may have a bad temper//c but her pancakes are really super-duper yummy!!//n I look forward to your reply!//n Shelley
mail_content-10000103,Scoring Map "Scorpion Vortex" unlocked.
mail_content-20000103,Dear Commander//c//n//n Upon completing "The Grain of Millet II" in Act II - The Imaginary (Angelia's storyline) of Mirror Stage//c you have unlocked the scoring map "Scorpion Vortex".//n In this stage//c you can conclude the battle by clicking "End Round" at any time to obtain the points you have accumulated.//n There are two scoring maps in this event. Ranking will be calculated by adding together the highest scores you have achieved in these two maps. All ranking rewards//c including the Commander's headgear "Iron Will" and the Cheerleader Fairy//c will be distributed after the end of the event.//n Moreover//c accumulated point rewards have been introduced in Mirror Stage - once you have accumulated a specific number of points//c you will be able to obtain rewards such as the Cheerleader Fairy and WA2000's exclusive equipment.//n//n Happy gaming.
mail_content-10000104,Scoring Map "Operation Mistbuster" unlocked.
mail_content-20000104,Dear Commander//c//n//n Upon completing "Defying the Moerae II" in Act III - The Symbolic (Commander's storyline) of Mirror Stage//c you have unlocked the scoring map "Operation Mistbuster".//n In this stage//c you can conclude the battle by clicking "End Round" at any time to obtain the points you have accumulated.//n There are two scoring maps in this event. Ranking will be calculated by adding together the highest scores you have achieved in these two maps. All ranking rewards//c including the Commander's headgear "Iron Will" and the Cheerleader Fairy//c will be distributed after the end of the event.//n Moreover//c accumulated point rewards have been introduced in Mirror Stage - once you have accumulated a specific number of points//c you will be able to obtain rewards such as the Cheerleader Fairy and WA2000's exclusive equipment.//n//n Happy gaming.
mail_content-10000105,
mail_content-20000105,
mail_content-10000106,Scoring Mode Chapter "Betti Number" has been unlocked.
mail_content-20000106,Dear Commanders://n//nUnlocking Fixed Point's 4th chapter "Teichmuller Space" will also unlock the scoring mode chapter "Betti Number".//nThis scoring chapter contains 3 stages//c and the highest score from each stage will be counted as the high score for this scoring mode. During the event//c meeting certain point thresholds will award you appropriate prizes//c including the Commander head costume piece "Wind-Seizing Cloud Strider"//c the event fairy "Trap Fairy"//c the new "Hell-Walker Medal" and so on.//n
At the same time//c your event high score will also be ranked and rewards will be given out after the event//c depending on your rank//c including the new "Hell-Walker Medal" and other such items.//nIn addition//c a score accumulation system will be in place during this event//c and reaching the appropriate point thresholds will grant rewards such as the event fairy "Trap Fairy"//c Python's special equipment ".357 Wadcutter Rounds"//c and so on.//n//nWe hope you enjoy playing. 
mail_content-10000107,A Day Full of Surprises!
mail_content-20000107,Dear Commander//c//n//nI have some good news for you!//nWe discovered an extra batch of supplies from the brass while we were doing our weekly inventory check~!//nThese supplies just ended up in the warehouse without being logged probably because nobody was around to collect them.//nThat's why when we made this unexpected discovery//c it felt exactly like finding money in the pocket of a coat from last year!//nOh//c I've already looked through the supplies and they're all brand new and unopened~!//nI've also logged them properly! Here's the updated inventory list//c please confirm!//n//nKalina
mail_content-10000108,Serendipity!
mail_content-20000108,Dear Commander//c//n//nI have some good news for you!//nWe discovered an extra batch of supplies from our frontline protocol contractor while we were doing our weekly inventory check~!//nThese supplies just ended up in the warehouse without being logged probably because nobody was around to collect them.//nThat's why when we made this unexpected discovery//c it felt exactly like finding money in the pocket of a coat from last year!//nOh//c I've already looked through the supplies and they're all brand new and unopened~!//nI've also logged them properly! Here's the updated inventory list//c please confirm!//n//nKalina
